name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Shri Ram College of Applied Sciences and Research Guwahati,Guwahati,Assam,Private,1905,174.0,A,224,779.0,4.8,329704.0,158566,True,66.6,9.3,38.45,596,1593.6,True,True,True,True,True,True,75.6,CLAT,7840,121,Medium (1-5L),Northeast,6,4
Indira Deemed University Mangalore,Mangalore,Karnataka,Deemed,1919,40.0,A+,138,720.0,7.5,488792.0,112739,False,93.2,16.41,95.4,297,1527.1,True,True,False,False,True,True,74.2,CAT,5390,107,Medium (1-5L),South,4,5
Bharati Institute of Information Technology Naharlagun,Naharlagun,Arunachal Pradesh,Private,1861,,B+,27,794.0,3.4,796301.0,39063,True,76.6,11.49,60.88,448,2443.4,True,True,True,True,True,False,23.5,WBJEE,2668,165,High (>5L),Northeast,5,2
Autonomous College of Veterinary Science Mapusa,Mapusa,Goa,Autonomous,1867,,B++,79,1289.0,5.9,68336.0,46318,True,55.7,6.57,29.67,562,1876.9,True,True,False,True,True,False,59.2,GATE,7629,159,Low (<1L),West,4,3
Jamia Millia Islamia,New Delhi,Delhi,Government,1920,150.0,A++,160,345.0,5.8,20100.0,55923,True,81.4,13.04,59.94,537,351.2,True,False,True,True,True,True,79.2,JMI Entrance,2000,106,Low (<1L),North,5,6
Chanakya Deemed University Delhi,Delhi,Delhi,Deemed,1936,,B,19,1443.0,0.2,144199.0,148470,False,31.2,2.46,7.26,245,1220.2,True,False,False,False,True,True,53.3,NATA,269,90,Medium (1-5L),North,3,1
Government College of Nursing Pune,Pune,Maharashtra,Government,2007,190.0,A,161,791.5,4.1,31228.0,53920,True,34.0,4.11,19.64,47,692.9,False,False,True,True,False,False,71.8,BITSAT,6233,19,Low (<1L),West,2,4
Government Polytechnic Margao,Margao,Goa,Government,1962,450.0,B,185,1377.0,2.1,18498.0,136202,False,33.5,3.19,12.71,126,237.8,False,True,True,True,False,False,35.0,COMEDK,2874,64,Low (<1L),West,3,1
Darbhanga Autonomous College of Management,Darbhanga,Bihar,Autonomous,1876,469.0,B++,34,1416.0,0.9,114241.0,170364,False,35.8,3.2,11.65,59,884.5,True,False,True,True,True,False,58.6,AP EAMCET,1223,150,Medium (1-5L),East,4,3
Acharya University Amravati,Amravati,Maharashtra,Private,1973,,B++,155,1457.0,1.6,382971.0,146817,True,78.2,11.2,38.81,413,1060.0,True,True,False,False,True,False,60.1,CLAT,2295,53,Medium (1-5L),West,3,3
District Fine Arts College Patna,Patna,Bihar,Government,1917,249.0,A,236,1085.0,0.3,65895.0,102101,True,73.7,14.77,58.16,504,2317.6,True,False,False,True,True,False,19.2,VITEEE,282,109,Low (<1L),East,3,4
Academy of Commerce Agartala,Agartala,Tripura,Deemed,1918,,B++,10,272.0,27.7,256110.0,42228,True,49.2,5.65,35.64,141,2016.0,True,True,True,False,True,True,10.0,NEET UG,7542,108,Medium (1-5L),Northeast,5,3
Excel Institute of Physical Education Imphal,Imphal,Manipur,Private,1873,,A,167,1253.0,0.5,2014987.0,27617,True,89.5,28.96,107.74,193,530.6,False,True,True,True,False,False,33.5,KCET,579,153,High (>5L),Other,3,4
Deemed Institute of Computer Science Muzaffarpur,Muzaffarpur,Bihar,Deemed,1866,494.0,B+,216,1429.0,2.0,207461.0,151452,True,40.8,2.49,13.82,555,2248.8,True,True,True,True,True,True,39.0,WBJEE,2888,160,Medium (1-5L),East,6,2
Academy of Law Anand,Anand,Gujarat,Deemed,1934,450.0,A,110,780.0,6.8,187507.0,164592,True,28.4,5.91,29.91,487,755.5,True,True,False,False,False,True,64.1,CLAT,5266,92,Medium (1-5L),West,3,4
Academy of Social Work Imphal,Imphal,Manipur,Deemed,1943,71.0,B+,145,286.0,18.6,1439422.0,53089,True,76.9,21.65,133.16,312,317.5,False,False,True,False,False,False,30.2,TS EAMCET,5321,83,High (>5L),Other,1,2
Aryabhatta Foundation Fashion Design College Durg,Durg,Chhattisgarh,Private,1995,332.0,A,138,249.0,29.3,129286.0,54568,False,41.4,5.24,14.15,177,2350.4,True,True,False,True,False,False,20.7,JEE Advanced,7295,31,Medium (1-5L),Central,3,4
Government College of Applied Sciences Bikaner,Bikaner,Rajasthan,Government,1914,,A+,34,134.0,56.7,33601.0,153956,True,67.1,5.01,33.55,497,137.9,True,True,False,True,True,True,51.3,UPSEE,7604,112,Low (<1L),North,5,5
Government College of Science Surat,Surat,Gujarat,Government,1934,230.0,B,237,1316.0,2.0,41608.0,59479,True,87.0,8.08,18.83,333,1459.5,False,True,True,True,False,False,70.6,NEET UG,2626,92,Low (<1L),West,3,1
