name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Shri Ram College of Applied Sciences and Research Guwahati,Guwahati,Assam,Private,1905,174,,224,,,329704,158566,True,66.6,9.3,38.45,596,1593.6,True,True,True,True,True,True,75.6,CLAT,7840
Indira Deemed University Mangalore,Mangalore,Karnataka,Deemed,1919,40,A+,138,720,7.5,488792,112739,False,93.2,16.41,95.4,297,1527.1,True,True,False,False,True,True,74.2,CAT,5390
Bharati Institute of Information Technology Naharlagun,Naharlagun,Arunachal Pradesh,Private,1861,,B+,27,794,3.4,796301,39063,True,76.6,11.49,60.88,448,2443.4,True,True,True,True,True,False,23.5,WBJEE,2668
Autonomous College of Veterinary Science Mapusa,Mapusa,Goa,Autonomous,1867,,B++,79,1289,5.9,68336,46318,True,55.7,6.57,29.67,562,1876.9,True,True,False,True,True,False,59.2,GATE,7629
Jamia Millia Islamia,New Delhi,Delhi,Government,1920,150,A++,160,345,5.8,20100,55923,True,81.4,13.04,59.94,537,351.2,True,False,True,True,True,True,79.2,JMI Entrance,2000
Chanakya Deemed University Delhi,Delhi,Delhi,Deemed,1936,,B,19,1443,0.2,144199,148470,False,31.2,2.46,7.26,245,1220.2,True,False,False,False,True,True,53.3,NATA,269
Government College of Nursing Pune,Pune,Maharashtra,Government,2007,190,,161,,,31228,53920,True,34.0,4.11,19.64,47,692.9,False,False,True,True,False,False,71.8,BITSAT,6233
Government Polytechnic Margao,Margao,Goa,Government,1962,450,B,185,1377,2.1,18498,136202,False,33.5,3.19,12.71,126,237.8,False,True,True,True,False,False,35.0,COMEDK,2874
Darbhanga Autonomous College of Management,Darbhanga,Bihar,Autonomous,1876,469,B++,34,1416,0.9,114241,170364,False,35.8,3.2,11.65,59,884.5,True,False,True,True,True,False,58.6,AP EAMCET,1223
Acharya University Amravati,Amravati,Maharashtra,Private,1973,,B++,155,1457,1.6,382971,146817,True,78.2,11.2,38.81,413,1060.0,True,True,False,False,True,False,60.1,CLAT,2295
District Fine Arts College Patna,Patna,Bihar,Government,1917,249,A,236,1085,0.3,65895,102101,True,73.7,14.77,58.16,504,2317.6,True,False,False,True,True,False,19.2,VITEEE,282
Academy of Commerce Agartala,Agartala,Tripura,Deemed,1918,,B++,10,272,27.7,256110,42228,True,49.2,5.65,35.64,141,2016.0,True,True,True,False,True,True,10.0,NEET UG,7542
Excel Institute of Physical Education Imphal,Imphal,Manipur,Private,1873,,,167,1253,0.5,2014987,27617,True,89.5,28.96,107.74,193,530.6,False,True,True,True,False,False,33.5,KCET,579
Deemed Institute of Computer Science Muzaffarpur,Muzaffarpur,Bihar,Deemed,1866,494,B+,216,1429,2.0,207461,151452,True,40.8,2.49,13.82,555,2248.8,True,True,True,True,True,True,39.0,WBJEE,2888
Academy of Law Anand,Anand,Gujarat,Deemed,1934,450,A,110,780,6.8,187507,164592,True,28.4,5.91,29.91,487,755.5,True,True,False,False,False,True,64.1,CLAT,5266
Academy of Social Work Imphal,Imphal,Manipur,Deemed,1943,71,B+,145,286,18.6,1439422,53089,True,76.9,21.65,133.16,312,317.5,False,False,True,False,False,False,30.2,TS EAMCET,5321
Aryabhatta Foundation Fashion Design College Durg,Durg,Chhattisgarh,Private,1995,332,A,138,249,29.3,129286,54568,False,41.4,5.24,14.15,177,2350.4,True,True,False,True,False,False,20.7,JEE Advanced,7295
Government College of Applied Sciences Bikaner,Bikaner,Rajasthan,Government,1914,,A+,34,134,56.7,33601,153956,True,67.1,5.01,33.55,497,137.9,True,True,False,True,True,True,51.3,UPSEE,7604
